date,ground_beef_lb,chicken_whole_lb,bacon_lb,pork_chops_boneless_lb,cpi_all_items
2010-04-01,2.364,1.23,3.643,3.134,218.009
2010-05-01,2.309,1.259,3.862,3.257,218.178
2010-06-01,2.4,1.239,4.046,3.234,217.965
2010-07-01,2.453,1.28,4.213,3.301,218.011
2010-08-01,2.502,1.254,4.353,3.29,218.312
2010-09-01,2.398,1.276,4.574,3.337,218.439
2010-10-01,2.397,1.302,4.773,3.301,218.711
2010-11-01,2.394,1.277,4.697,3.296,218.803
2010-12-01,2.378,1.28,4.16,3.303,219.179
2011-01-01,2.533,1.241,4.25,3.368,220.223
2011-02-01,2.659,1.266,4.366,3.483,221.309
2011-03-01,2.715,1.269,4.537,3.473,223.467
2011-04-01,2.722,1.261,4.662,3.412,224.906
2011-05-01,2.694,1.302,4.77,3.552,225.964
2011-06-01,2.774,1.305,4.84,3.55,225.722
2011-07-01,2.818,1.306,4.755,3.508,225.922
2011-08-01,2.819,1.296,4.77,3.576,226.545
2011-09-01,2.868,1.294,4.819,3.644,226.889
2011-10-01,2.876,1.312,4.586,3.589,226.421
2011-11-01,2.899,1.304,4.637,3.525,226.23
2011-12-01,2.921,1.34,4.55,3.548,225.672
2012-01-01,3.005,1.334,4.571,3.592,226.665
2012-02-01,2.947,1.356,4.655,3.529,227.663
2012-03-01,3.016,1.372,4.6,3.522,229.392
2012-04-01,2.998,1.401,4.533,3.498,230.085
2012-05-01,2.995,1.347,4.385,3.521,229.815
2012-06-01,3.007,1.39,4.326,3.52,229.478
2012-07-01,3.085,1.454,4.365,3.562,229.104
2012-08-01,2.991,1.433,4.609,3.586,230.379
2012-09-01,3.024,1.455,4.692,3.507,231.407
2012-10-01,,1.53,4.661,3.537,231.317
2012-11-01,3.175,1.512,4.64,3.528,230.221
2012-12-01,3.08,1.482,4.639,3.465,229.601
2013-01-01,3.407,1.497,4.722,3.465,230.28
2013-02-01,3.379,1.456,4.831,3.571,232.166
2013-03-01,3.332,1.471,4.909,3.53,232.773
2013-04-01,3.268,1.473,4.887,3.489,232.531
2013-05-01,3.311,1.466,5.092,3.552,232.945
2013-06-01,3.382,1.509,5.334,3.388,233.504
2013-07-01,3.459,1.484,5.494,3.508,233.596
2013-08-01,3.454,1.489,5.618,3.534,233.877
2013-09-01,3.502,1.528,5.68,3.609,234.149
2013-10-01,3.389,1.543,5.708,3.58,233.546
2013-11-01,3.477,1.518,5.615,3.681,233.069
2013-12-01,3.46,1.52,5.544,3.731,233.049
2014-01-01,3.467,1.529,5.563,3.723,233.916
2014-02-01,3.555,1.504,5.461,3.659,234.781
2014-03-01,3.698,1.544,5.552,3.824,236.293
2014-04-01,3.808,1.53,5.69,4.044,237.072
2014-05-01,3.856,1.556,6.048,4.106,237.9
2014-06-01,3.88,1.503,6.106,4.024,238.343
2014-07-01,3.884,1.495,6.009,4.005,238.25
2014-08-01,4.013,1.572,6.068,4.172,237.852
2014-09-01,4.096,1.543,5.953,4.173,238.031
2014-10-01,4.154,1.549,5.759,4.174,237.433
2014-11-01,4.201,1.533,5.574,4.1,236.151
2014-12-01,4.156,1.541,5.531,4.056,234.812
2015-01-01,4.235,1.546,5.589,3.988,233.707
2015-02-01,4.238,1.55,5.472,3.962,234.722
2015-03-01,4.2,1.545,5.367,3.867,236.119
2015-04-01,4.231,1.539,5.211,3.813,236.599
2015-05-01,4.136,1.483,4.94,3.786,237.805
2015-06-01,4.221,1.515,5.059,3.824,238.638
2015-07-01,4.2,1.487,5.184,3.917,238.654
2015-08-01,4.159,1.428,5.41,3.863,238.316
2015-09-01,4.126,1.415,5.734,3.88,237.945
2015-10-01,4.083,1.43,5.899,3.875,237.838
2015-11-01,4.113,1.484,5.847,3.797,237.336
2015-12-01,4.06,1.437,5.734,3.807,236.525
2016-01-01,3.978,1.429,5.656,3.656,236.916
2016-02-01,3.964,1.478,5.394,3.658,237.111
2016-03-01,3.955,1.463,5.494,3.693,238.132
2016-04-01,3.815,1.496,5.613,3.707,239.261
2016-05-01,3.717,1.489,5.552,3.72,240.229
2016-06-01,3.725,1.408,5.374,3.752,241.018
2016-07-01,3.69,1.445,5.454,3.832,240.628
2016-08-01,3.657,1.426,5.448,3.76,240.849
2016-09-01,3.665,1.487,5.481,3.662,241.428
2016-10-01,3.679,1.502,5.375,3.632,241.729
2016-11-01,3.597,1.478,5.106,3.512,241.353
2016-12-01,3.559,1.463,5.102,3.462,241.432
2017-01-01,3.553,1.418,5.18,3.354,242.839
2017-02-01,3.557,1.473,5.334,3.45,243.603
2017-03-01,3.594,1.462,5.745,3.443,243.801
2017-04-01,3.547,1.444,5.775,3.441,244.524
2017-05-01,3.559,1.499,5.699,3.425,244.733
2017-06-01,3.679,1.497,5.665,3.42,244.955
2017-07-01,3.754,1.496,5.819,3.417,244.786
2017-08-01,3.732,1.489,6.241,3.482,245.519
2017-09-01,3.707,1.48,6.366,3.481,246.819
2017-10-01,3.688,1.484,6.066,3.378,246.663
2017-11-01,3.638,1.451,5.708,3.366,246.669
2017-12-01,3.708,1.47,5.629,3.302,246.524
2018-01-01,3.641,1.509,5.654,3.224,247.867
2018-02-01,3.642,1.478,5.533,3.186,248.991
2018-03-01,3.657,1.502,5.527,3.207,249.554
2018-04-01,3.73,1.511,5.421,3.293,250.546
2018-05-01,3.685,1.523,5.452,3.284,251.588
2018-06-01,3.729,1.514,5.247,3.272,251.989
2018-07-01,3.745,1.519,5.418,3.262,252.006
2018-08-01,3.792,1.511,5.577,3.338,252.146
2018-09-01,3.743,1.487,5.501,3.289,252.439
2018-10-01,3.714,1.444,5.37,3.367,252.885
2018-11-01,3.781,1.501,5.392,3.306,252.038
2018-12-01,3.725,1.466,5.502,3.361,251.233
2019-01-01,3.801,1.473,5.518,3.199,251.712
2019-02-01,3.758,1.486,5.502,3.298,252.776
2019-03-01,3.725,1.468,5.608,3.311,254.202
2019-04-01,3.775,1.463,5.552,3.354,255.548
2019-05-01,3.822,1.479,5.812,3.441,256.092
2019-06-01,3.812,1.59,5.878,3.312,256.143
2019-07-01,3.8,1.562,5.701,3.411,256.571
2019-08-01,3.819,1.514,5.576,3.379,256.558
2019-09-01,3.851,1.487,5.571,3.335,256.759
2019-10-01,3.841,1.538,5.653,3.238,257.346
2019-11-01,3.812,1.43,5.505,3.399,257.208
2019-12-01,3.862,1.45,5.474,3.391,256.974
2020-01-01,3.886,1.409,5.505,3.368,257.971
2020-02-01,3.865,1.362,5.497,3.419,258.678
2020-03-01,3.881,1.4,5.257,3.415,258.115
2020-04-01,4.052,1.571,5.346,3.673,256.389
2020-05-01,4.461,,5.348,3.972,256.394
2020-06-01,4.737,1.747,5.772,4.189,257.797
2020-07-01,4.264,1.712,5.776,3.91,259.101
2020-08-01,4.177,1.609,5.559,3.788,259.918
2020-09-01,4.076,1.542,5.619,3.799,260.28
2020-10-01,4.008,1.58,5.722,3.632,260.388
2020-11-01,4.027,1.639,5.754,3.737,260.229
2020-12-01,3.951,1.621,5.831,3.741,260.474
2021-01-01,3.965,1.595,5.831,3.694,261.582
2021-02-01,3.987,1.583,5.778,3.676,263.014
2021-03-01,4.042,1.543,5.852,3.765,264.877
2021-04-01,4.096,1.515,6.215,3.844,267.054
2021-05-01,4.101,1.486,6.346,3.875,269.195
2021-06-01,4.357,1.474,6.67,4.089,271.696
2021-07-01,4.388,1.435,6.857,4.081,273.003
2021-08-01,4.468,1.472,7.096,4.057,273.567
2021-09-01,4.504,1.504,7.22,4.051,274.31
2021-10-01,4.719,1.523,7.317,4.147,276.589
2021-11-01,4.716,1.583,7.265,4.072,277.948
2021-12-01,4.604,1.606,7.211,4.023,278.802
2022-01-01,4.554,1.622,7.222,4.019,281.148
2022-02-01,4.63,1.632,7.097,4.031,283.716
2022-03-01,4.757,1.724,7.203,4.126,287.504
2022-04-01,4.916,1.794,7.422,4.178,289.109
2022-05-01,4.794,1.824,7.364,4.13,292.296
2022-06-01,4.889,1.826,7.403,4.068,296.311
2022-07-01,4.893,1.88,7.415,4.174,296.276
2022-08-01,4.937,1.879,7.372,4.248,296.171
2022-09-01,4.862,1.891,7.383,4.187,296.808
2022-10-01,4.836,1.863,7.608,4.273,298.012
2022-11-01,4.853,1.843,7.243,4.163,297.711
2022-12-01,4.8,1.83,6.956,4.314,296.797
2023-01-01,4.791,1.855,6.808,4.14,299.17
2023-02-01,4.778,1.894,6.595,4.256,300.84
2023-03-01,4.813,1.868,6.613,4.165,301.836
2023-04-01,4.79,1.873,6.549,4.099,303.363
2023-05-01,4.96,1.92,6.339,4.189,304.127
2023-06-01,5.028,1.953,6.224,4.241,305.109
2023-07-01,5.102,1.891,6.236,4.238,305.691
2023-08-01,5.076,1.958,6.502,4.359,307.026
2023-09-01,5.109,1.901,7.083,4.327,307.789
2023-10-01,5.226,1.926,7.223,4.452,307.671
2023-11-01,5.353,1.976,6.899,4.343,307.051
2023-12-01,5.21,1.955,6.774,4.256,306.746
2024-01-01,5.03,1.987,6.614,4.236,308.417
2024-02-01,5.132,1.951,6.56,4.157,310.326
2024-03-01,5.132,1.991,6.609,4.256,312.332
2024-04-01,5.236,1.953,6.637,4.235,313.548
2024-05-01,5.148,2.013,6.818,4.391,314.069
2024-06-01,5.472,2.007,6.827,4.397,314.175
2024-07-01,5.497,1.988,6.883,4.409,314.54
2024-08-01,5.577,1.988,6.785,4.403,314.796
2024-09-01,5.67,1.979,6.955,4.328,315.301
2024-10-01,5.588,1.987,6.869,4.273,315.664
2024-11-01,5.628,2.076,6.843,4.43,315.493
2024-12-01,5.605,2.061,6.915,4.308,315.605
2025-01-01,5.545,2.061,7.044,4.249,317.671
2025-02-01,5.625,2.051,6.798,4.226,319.082
2025-03-01,5.79,2.064,6.978,4.341,319.799
2025-04-01,5.801,2.059,7.009,4.244,320.795
2025-05-01,5.981,2.061,6.985,4.22,321.465
2025-06-01,6.12,2.086,7.098,4.264,322.561
2025-07-01,6.254,2.078,7.118,4.333,323.048
2025-08-01,6.318,2.076,7.208,4.299,323.976
2025-09-01,6.323,2.061,7.29,4.349,324.8
2025-11-01,6.54,2.044,6.928,4.097,324.122
2025-12-01,6.687,2.02,6.76,4.298,324.054
2026-01-01,6.752,2.041,6.978,4.15,325.252
2026-02-01,6.739,2.049,6.904,4.191,326.785
2026-03-01,6.701,2.033,6.801,4.181,330.213
2026-04-01,6.899,2.026,6.826,4.331,333.02
2026-05-01,6.745,2.036,6.712,4.389,335.123
2026-06-01,6.825,2.044,6.561,4.336,333.952
